t,feature_0,feature_1,feature_2,feature_3,feature_4,event_indicator,time_to_event,run_id,split,seed
6,0.034,0.0,0.966,25.196,1.0,1,10,sir_graph_seed_20,train,20
7,0.046,0.0,0.954,25.196,1.0,1,9,sir_graph_seed_20,train,20
8,0.064,0.0,0.936,25.196,1.0,1,8,sir_graph_seed_20,train,20
9,0.096,0.0,0.904,25.196,1.0,1,7,sir_graph_seed_20,train,20
10,0.12,0.0,0.88,25.196,1.0,1,6,sir_graph_seed_20,train,20
11,0.166,0.0,0.834,25.196,1.0,1,5,sir_graph_seed_20,train,20
12,0.238,0.0,0.762,25.196,1.0,1,4,sir_graph_seed_20,train,20
13,0.31,0.002,0.688,25.196,1.0,1,3,sir_graph_seed_20,train,20
14,0.414,0.002,0.584,25.196,1.0,1,2,sir_graph_seed_20,train,20
15,0.53,0.006,0.464,25.196,1.0,1,1,sir_graph_seed_20,train,20
16,0.62,0.016,0.364,25.196,1.0,1,0,sir_graph_seed_20,train,20
0,0.004,0.0,0.996,24.88,2.0,1,12,sir_graph_seed_21,train,21
1,0.01,0.0,0.99,24.88,1.0,1,11,sir_graph_seed_21,train,21
2,0.026,0.0,0.974,24.88,1.0,1,10,sir_graph_seed_21,train,21
3,0.04,0.0,0.96,24.88,1.0,1,9,sir_graph_seed_21,train,21
4,0.066,0.0,0.934,24.88,1.0,1,8,sir_graph_seed_21,train,21
5,0.094,0.0,0.906,24.88,1.0,1,7,sir_graph_seed_21,train,21
6,0.124,0.002,0.874,24.88,1.0,1,6,sir_graph_seed_21,train,21
7,0.168,0.004,0.828,24.88,1.0,1,5,sir_graph_seed_21,train,21
8,0.214,0.004,0.782,24.88,1.0,1,4,sir_graph_seed_21,train,21
9,0.29,0.006,0.704,24.88,1.0,1,3,sir_graph_seed_21,train,21
10,0.392,0.006,0.602,24.88,1.0,1,2,sir_graph_seed_21,train,21
11,0.502,0.008,0.49,24.88,1.0,1,1,sir_graph_seed_21,train,21
12,0.606,0.012,0.382,24.88,1.0,1,0,sir_graph_seed_21,train,21
0,0.004,0.0,0.996,24.7,2.0,1,20,sir_graph_seed_22,train,22
1,0.004,0.0,0.996,24.7,2.0,1,19,sir_graph_seed_22,train,22
2,0.004,0.0,0.996,24.7,2.0,1,18,sir_graph_seed_22,train,22
3,0.004,0.0,0.996,24.7,2.0,1,17,sir_graph_seed_22,train,22
4,0.004,0.0,0.996,24.7,2.0,1,16,sir_graph_seed_22,train,22
5,0.004,0.0,0.996,24.7,2.0,1,15,sir_graph_seed_22,train,22
6,0.006,0.0,0.994,24.7,2.0,1,14,sir_graph_seed_22,train,22
7,0.008,0.0,0.992,24.7,2.0,1,13,sir_graph_seed_22,train,22
8,0.012,0.0,0.988,24.7,2.0,1,12,sir_graph_seed_22,train,22
9,0.018,0.0,0.982,24.7,1.0,1,11,sir_graph_seed_22,train,22
10,0.024,0.0,0.976,24.7,1.0,1,10,sir_graph_seed_22,train,22
11,0.04,0.0,0.96,24.7,1.0,1,9,sir_graph_seed_22,train,22
12,0.064,0.0,0.936,24.7,1.0,1,8,sir_graph_seed_22,train,22
13,0.102,0.0,0.898,24.7,1.0,1,7,sir_graph_seed_22,train,22
14,0.13,0.0,0.87,24.7,1.0,1,6,sir_graph_seed_22,train,22
15,0.188,0.002,0.81,24.7,1.0,1,5,sir_graph_seed_22,train,22
16,0.26,0.002,0.738,24.7,1.0,1,4,sir_graph_seed_22,train,22
17,0.344,0.002,0.654,24.7,1.0,1,3,sir_graph_seed_22,train,22
18,0.462,0.006,0.532,24.7,1.0,1,2,sir_graph_seed_22,train,22
19,0.558,0.012,0.43,24.7,1.0,1,1,sir_graph_seed_22,train,22
20,0.644,0.02,0.336,24.7,1.0,1,0,sir_graph_seed_22,train,22
0,0.004,0.0,0.996,24.952,2.0,1,16,sir_graph_seed_23,train,23
1,0.008,0.0,0.992,24.952,2.0,1,15,sir_graph_seed_23,train,23
2,0.012,0.0,0.988,24.952,2.0,1,14,sir_graph_seed_23,train,23
3,0.012,0.0,0.988,24.952,2.0,1,13,sir_graph_seed_23,train,23
4,0.018,0.0,0.982,24.952,2.0,1,12,sir_graph_seed_23,train,23
5,0.02,0.0,0.98,24.952,2.0,1,11,sir_graph_seed_23,train,23
6,0.03,0.0,0.97,24.952,1.0,1,10,sir_graph_seed_23,train,23
7,0.05,0.0,0.95,24.952,1.0,1,9,sir_graph_seed_23,train,23
8,0.062,0.002,0.936,24.952,1.0,1,8,sir_graph_seed_23,train,23
9,0.094,0.004,0.902,24.952,1.0,1,7,sir_graph_seed_23,train,23
10,0.14,0.004,0.856,24.952,1.0,1,6,sir_graph_seed_23,train,23
11,0.196,0.004,0.8,24.952,1.0,1,5,sir_graph_seed_23,train,23
12,0.27,0.004,0.726,24.952,1.0,1,4,sir_graph_seed_23,train,23
13,0.358,0.006,0.636,24.952,1.0,1,3,sir_graph_seed_23,train,23
14,0.44,0.008,0.552,24.952,1.0,1,2,sir_graph_seed_23,train,23
15,0.536,0.014,0.45,24.952,1.0,1,1,sir_graph_seed_23,train,23
16,0.644,0.018,0.338,24.952,1.0,1,0,sir_graph_seed_23,train,23
0,0.004,0.0,0.996,25.128,2.0,1,19,sir_graph_seed_24,train,24
1,0.004,0.0,0.996,25.128,2.0,1,18,sir_graph_seed_24,train,24
2,0.004,0.0,0.996,25.128,2.0,1,17,sir_graph_seed_24,train,24
3,0.004,0.0,0.996,25.128,2.0,1,16,sir_graph_seed_24,train,24
4,0.004,0.0,0.996,25.128,2.0,1,15,sir_graph_seed_24,train,24
5,0.008,0.0,0.992,25.128,2.0,1,14,sir_graph_seed_24,train,24
6,0.01,0.0,0.99,25.128,2.0,1,13,sir_graph_seed_24,train,24
7,0.012,0.0,0.988,25.128,2.0,1,12,sir_graph_seed_24,train,24
8,0.02,0.0,0.98,25.128,2.0,1,11,sir_graph_seed_24,train,24
9,0.034,0.0,0.966,25.128,2.0,1,10,sir_graph_seed_24,train,24
10,0.044,0.0,0.956,25.128,2.0,1,9,sir_graph_seed_24,train,24
11,0.064,0.002,0.934,25.128,2.0,1,8,sir_graph_seed_24,train,24
12,0.096,0.002,0.902,25.128,1.0,1,7,sir_graph_seed_24,train,24
13,0.14,0.002,0.858,25.128,1.0,1,6,sir_graph_seed_24,train,24
14,0.182,0.004,0.814,25.128,1.0,1,5,sir_graph_seed_24,train,24
15,0.274,0.008,0.718,25.128,1.0,1,4,sir_graph_seed_24,train,24
16,0.354,0.01,0.636,25.128,1.0,1,3,sir_graph_seed_24,train,24
17,0.434,0.018,0.548,25.128,1.0,1,2,sir_graph_seed_24,train,24
18,0.548,0.018,0.434,25.128,1.0,1,1,sir_graph_seed_24,train,24
19,0.618,0.022,0.36,25.128,1.0,1,0,sir_graph_seed_24,train,24
0,0.004,0.0,0.996,24.972,2.0,1,17,sir_graph_seed_25,train,25
1,0.008,0.0,0.992,24.972,1.0,1,16,sir_graph_seed_25,train,25
2,0.01,0.0,0.99,24.972,1.0,1,15,sir_graph_seed_25,train,25
3,0.014,0.0,0.986,24.972,1.0,1,14,sir_graph_seed_25,train,25
4,0.018,0.0,0.982,24.972,1.0,1,13,sir_graph_seed_25,train,25
5,0.024,0.0,0.976,24.972,1.0,1,12,sir_graph_seed_25,train,25
6,0.026,0.0,0.974,24.972,1.0,1,11,sir_graph_seed_25,train,25
7,0.036,0.0,0.964,24.972,1.0,1,10,sir_graph_seed_25,train,25
8,0.044,0.002,0.954,24.972,1.0,1,9,sir_graph_seed_25,train,25
9,0.056,0.002,0.942,24.972,1.0,1,8,sir_graph_seed_25,train,25
10,0.086,0.004,0.91,24.972,1.0,1,7,sir_graph_seed_25,train,25
11,0.12,0.004,0.876,24.972,1.0,1,6,sir_graph_seed_25,train,25
12,0.184,0.004,0.812,24.972,1.0,1,5,sir_graph_seed_25,train,25
13,0.26,0.004,0.736,24.972,1.0,1,4,sir_graph_seed_25,train,25
14,0.368,0.004,0.628,24.972,1.0,1,3,sir_graph_seed_25,train,25
15,0.492,0.008,0.5,24.972,1.0,1,2,sir_graph_seed_25,train,25
16,0.59,0.01,0.4,24.972,1.0,1,1,sir_graph_seed_25,train,25
17,0.67,0.014,0.316,24.972,1.0,1,0,sir_graph_seed_25,train,25
0,0.004,0.0,0.996,25.304,2.0,1,17,sir_graph_seed_26,train,26
1,0.004,0.0,0.996,25.304,2.0,1,16,sir_graph_seed_26,train,26
2,0.006,0.0,0.994,25.304,2.0,1,15,sir_graph_seed_26,train,26
3,0.008,0.0,0.992,25.304,2.0,1,14,sir_graph_seed_26,train,26
4,0.01,0.0,0.99,25.304,2.0,1,13,sir_graph_seed_26,train,26
5,0.012,0.0,0.988,25.304,2.0,1,12,sir_graph_seed_26,train,26
6,0.018,0.0,0.982,25.304,2.0,1,11,sir_graph_seed_26,train,26
7,0.026,0.0,0.974,25.304,2.0,1,10,sir_graph_seed_26,train,26
8,0.038,0.0,0.962,25.304,1.0,1,9,sir_graph_seed_26,train,26
9,0.056,0.0,0.944,25.304,1.0,1,8,sir_graph_seed_26,train,26
10,0.084,0.0,0.916,25.304,1.0,1,7,sir_graph_seed_26,train,26
11,0.126,0.0,0.874,25.304,1.0,1,6,sir_graph_seed_26,train,26
12,0.17,0.002,0.828,25.304,1.0,1,5,sir_graph_seed_26,train,26
13,0.248,0.002,0.75,25.304,1.0,1,4,sir_graph_seed_26,train,26
